date,daa
2022-06-09,2565.0
2022-06-08,2955.0
2022-06-07,2631.0
2022-06-06,2504.0
2022-06-05,1868.0
2022-06-04,1826.0
2022-06-03,2250.0
2022-06-02,2669.0
2022-06-01,3325.0
2022-05-31,3143.0
2022-05-30,3541.0
2022-05-29,3900.0
2022-05-28,3275.0
2022-05-27,3606.0
2022-05-26,3171.0
2022-05-25,4213.0
2022-05-24,5693.0
2022-05-23,11269.0
2022-05-22,1926.0
2022-05-21,1824.0
2022-05-20,1834.0
2022-05-19,1812.0
2022-05-18,2219.0
2022-05-17,1490.0
2022-05-16,2478.0
2022-05-15,2487.0
2022-05-14,2563.0
2022-05-13,2680.0
2022-05-12,3052.0
2022-05-11,2772.0
2022-05-10,1366.0
2022-05-09,1458.0
2022-05-08,1369.0
2022-05-07,1487.0
2022-05-06,1417.0
2022-05-05,1417.0
2022-05-04,1330.0
2022-05-03,1143.0
2022-05-02,1226.0
2022-05-01,1163.0
2022-04-30,1270.0
2022-04-29,1209.0
2022-04-28,1296.0
2022-04-27,1253.0
2022-04-26,1220.0
2022-04-25,1498.0
2022-04-24,1628.0
2022-04-23,1973.0
2022-04-22,1719.0
2022-04-21,1399.0
2022-04-20,1448.0
2022-04-19,1690.0
2022-04-18,1686.0
2022-04-17,1684.0
2022-04-16,1795.0
2022-04-15,1830.0
2022-04-14,1294.0
2022-04-13,1266.0
2022-04-12,1146.0
2022-04-11,1351.0
2022-04-10,1456.0
2022-04-09,1094.0
2022-04-08,1082.0
2022-04-07,830.0
2022-04-06,1096.0
2022-04-05,927.0
2022-04-04,880.0
2022-04-03,1013.0
2022-04-02,964.0
2022-04-01,1071.0
2022-03-31,1899.0
2022-03-30,1378.0
2022-03-29,1612.0
2022-03-28,1746.0
2022-03-27,1498.0
2022-03-26,1784.0
2022-03-25,1647.0
2022-03-24,2258.0
2022-03-23,4858.0
2022-03-22,633.0
2022-03-21,800.0
2022-03-20,1103.0
2022-03-19,1117.0
2022-03-18,565.0
2022-03-17,655.0
2022-03-16,606.0
2022-03-15,677.0
2022-03-14,731.0
2022-03-13,814.0
2022-03-12,712.0
2022-03-11,754.0
2022-03-10,708.0
2022-03-09,588.0
2022-03-08,567.0
2022-03-07,639.0
2022-03-06,650.0
2022-03-05,706.0
2022-03-04,743.0
2022-03-03,743.0
2022-03-02,624.0
2022-03-01,624.0
2022-02-28,682.0
2022-02-27,678.0
2022-02-26,706.0
2022-02-25,592.0
2022-02-24,632.0
2022-02-23,500.0
2022-02-22,573.0
2022-02-21,600.0
2022-02-20,678.0
2022-02-19,524.0
